type,time,epoch,lr,train_loss,train_loss_bbox,train_loss_giou,train_loss_score,train_loss_rank_raw,train_loss_rank,map50,map50_95,precision,recall,tp,fp,num_gt,num_pred,valid_samples,skipped_empty_gt,avg_selected_per_sample,lambda_bbox,lambda_giou,lambda_score,lambda_rank_max,pos_weight,quality_warmup_epoch,rank_start_epoch,rank_warmup_epoch,rank_alpha_min,amp_dtype,allow_tf32,channels_last,query_budget_batching
epoch,1781876134.2289224,59,8.770742553435337e-05,1.887171745300293,0.0820244774222374,0.6411250233650208,0.0850248634815216,0.11914939433336258,0.005667181685566902,0.06779499351978302,0.030772459854779298,0.05295036034403446,0.31942984484715975,7597,135877,23783,143474,12669,0,11.324808587891704,4.213333333333333,2.0,2.9833333333333334,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781878359.501975,60,8.730183166292171e-05,1.8810555934906006,0.08133605867624283,0.6388143301010132,0.08529181778430939,0.11872147023677826,0.005937418434768915,1.968338966369629,0.09156699478626251,0.6636798977851868,0.0834420919418335,0.12137395888566971,0.006071225740015507,0.07017692178487778,0.03074934556207154,0.05802440879189032,0.33044611697430937,7859,127584,23783,135443,12669,0,10.69089904491278,4.2,2.0,3.0,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781880289.841585,61,8.689079255621642e-05,1.872493863105774,0.08048244565725327,0.6355574727058411,0.0855880081653595,0.1188751831650734,0.0062370095402002335,0.0699957013130188,0.029852421427494846,0.0585963044635389,0.3240129504267754,7706,123804,23783,131510,12669,0,10.380456231746784,4.1866666666666665,2.0,3.0166666666666666,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781882397.1819837,62,8.64736092499331e-05,1.8722833395004272,0.0800996795296669,0.6356396079063416,0.08577239513397217,0.11894231289625168,0.0065466598607599735,0.07030920684337616,0.031643124666879886,0.0575861686800399,0.32771307236261193,7794,127551,23783,135345,12669,0,10.683163627752782,4.173333333333334,2.0,3.033333333333333,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781884371.2679214,63,8.605110150969944e-05,1.8708751201629639,0.07963884621858597,0.6340919733047485,0.08672540634870529,0.11963906139135361,0.006881761830300093,0.07122579962015152,0.029848579660756512,0.059857265704814894,0.34242946642559813,8144,127913,23783,136057,12669,0,10.739363801405004,4.16,2.0,3.05,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781886318.5191743,64,8.56228905526676e-05,1.8641263246536255,0.07867524027824402,0.6307215690612793,0.08779503405094147,0.12014856189489365,0.007205411791801453,0.06372326612472534,0.02830377404752653,0.05771410069613081,0.32977336753143,7843,128051,23783,135894,12669,0,10.726497750414397,4.1466666666666665,2.0,3.0666666666666664,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781888551.6716714,65,8.518834823742671e-05,1.8678427934646606,0.0787050724029541,0.6326357126235962,0.08748997002840042,0.12005144357681274,0.007496837992221117,1.9660309553146362,0.08924339711666107,0.6635338068008423,0.08511346578598022,0.12262887507677078,0.007659334223717451,0.06493556499481201,0.03131788480677642,0.0531975257616409,0.31930370432661986,7594,135157,23783,142751,12669,0,11.267740153129687,4.133333333333333,2.0,3.083333333333333,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781890669.2656605,66,8.475050733117352e-05,1.8643697500228882,0.0790732130408287,0.6301003694534302,0.08729182183742523,0.12022115290164948,0.007783510722219944,0.06956781446933746,0.032623074960429224,0.054736530699931674,0.32674599503847285,7771,134200,23783,141971,12669,0,11.206172547162366,4.12,2.0,3.0999999999999996,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781892642.9521258,67,8.43078727836419e-05,1.8561580181121826,0.07777691632509232,0.6267704367637634,0.08828707784414291,0.11999262124300003,0.008056237362325191,0.07171549648046494,0.03320382874226198,0.059778985592495865,0.3204810158516587,7622,119881,23783,127503,12669,0,10.064172389296708,4.1066666666666665,2.0,3.1166666666666663,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781894570.9183092,68,8.385828429453379e-05,1.8641703128814697,0.0781475082039833,0.6289039850234985,0.08875887095928192,0.1202835887670517,0.008364873006939888,0.07505988329648972,0.03348711576909409,0.06228880378463618,0.34877853929277214,8295,124875,23783,133170,12669,0,10.51148472649775,4.093333333333334,2.0,3.1333333333333333,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781896586.2056372,69,8.340556976177647e-05,1.8520569801330566,0.07759734988212585,0.6238107085227966,0.08866525441408157,0.11896984279155731,0.008542855270206928,0.07312281429767609,0.033320377125346565,0.06070944949200754,0.3374258924441828,8025,124162,23783,132187,12669,0,10.433893756413292,4.08,2.0,3.15,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781898861.119781,70,8.294624486063284e-05,1.846417784690857,0.07656022906303406,0.622321605682373,0.0889069065451622,0.11990972608327866,0.008891399949789047,1.9463599920272827,0.08729047328233719,0.6534015536308289,0.08698898553848267,0.12282924354076385,0.009110652841627598,0.07680162787437439,0.032578107822700986,0.0612857724523034,0.35441281587688683,8429,129107,23783,137536,12669,0,10.856105454258426,4.066666666666666,2.0,3.1666666666666665,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781900971.960308,71,8.248203589268558e-05,1.833332896232605,0.0751679465174675,0.6168861389160156,0.08976273983716965,0.11978500336408615,0.009134608320891857,0.078212670981884,0.03570389231317676,0.061759369189758294,0.3477694151284531,8271,125652,23783,133923,12669,0,10.570921146104665,4.053333333333334,2.0,3.1833333333333336,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781902980.0656955,72,8.201424875650811e-05,1.8260418176651,0.0748315304517746,0.6154538989067078,0.08859975636005402,0.11831116676330566,0.00929451547563076,0.0845172256231308,0.03729327269247733,0.06348324869387308,0.3653029474834966,8688,128167,23783,136855,12669,0,10.802352198279264,4.04,2.0,3.2,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781904946.6015909,73,8.154175176450278e-05,1.819111704826355,0.07376628369092941,0.6121987700462341,0.08956720679998398,0.11879821121692657,0.009572301991283894,0.08261894434690475,0.03584087479393929,0.06582326643203652,0.37825337425892447,8996,127673,23783,136669,12669,0,10.787670692240903,4.026666666666666,2.0,3.216666666666667,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781906909.0406907,74,8.10636157533703e-05,1.8221464157104492,0.0741041749715805,0.6125458478927612,0.08964507281780243,0.11871655285358429,0.00979805551469326,0.08431234210729599,0.03800546983256936,0.06534205341906946,0.3751419080856074,8922,127621,23783,136543,12669,0,10.777725155892336,4.013333333333334,2.0,3.2333333333333334,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781909130.839478,75,8.058001515231556e-05,1.818196415901184,0.07343202829360962,0.609673798084259,0.09078197181224823,0.11938292533159256,0.010079327039420605,1.9246819019317627,0.08422792702913284,0.6433902382850647,0.08943422138690948,0.12236500531435013,0.010328042320907116,0.08343459665775299,0.037612123537110166,0.06602115321054054,0.3695496783416726,8789,124335,23783,133124,12669,0,10.50785381640224,4.0,2.0,3.25,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781911104.9651067,76,8.009343340792505e-05,1.8080554008483887,0.07271391898393631,0.605878472328186,0.09065273404121399,0.11931225657463074,0.010279502719640732,0.08888787776231766,0.040590993309160696,0.06664968709067094,0.385107009208258,9159,128261,23783,137420,12669,0,10.84694924619149,3.9866666666666664,2.0,3.2666666666666666,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
