type,time,epoch,lr,train_loss,train_loss_bbox,train_loss_giou,train_loss_score,val_loss,val_loss_bbox,val_loss_giou,val_loss_score,map50,map50_95,precision,recall,tp,fp,num_gt,num_pred,valid_samples,skipped_empty_gt,avg_selected_per_sample,lambda_bbox,lambda_giou,lambda_score,pos_weight
epoch,1781617888.9534795,13,9.959054826416168e-05,3.3742213036728326,0.10975761404529348,0.6606828829675674,0.6871092091337224,3.4907075082412873,0.12399990508577438,0.6844056904729869,0.6872435548164025,0.06460732221603394,0.021653763126960258,0.01918744737926623,0.5225144588267695,7589,387930,14524,395519,7680,0,51.49986979166667,4.826666666666666,2.0,2.216666666666667,2.52
epoch,1781621412.4397027,14,9.952268560969892e-05,3.4432221273984744,0.1159447052899805,0.6757635578707886,0.6866930445673484,3.553087489999304,0.12656062353882147,0.7047277050600811,0.6870687658136542,0.030882470309734344,0.011693366126201,0.015153781323077289,0.4394794822362985,6383,414832,14524,421215,7680,0,54.845703125,4.8133333333333335,2.0,2.2333333333333334,2.56
epoch,1781624975.0038977,15,9.944965011097741e-05,3.4514725531129233,0.11628138462770475,0.6748357866105461,0.6860668043924343,3.553891493967085,0.1280989243479615,0.6976095840306671,0.6861322049916995,0.04430039972066879,0.014682085591721261,0.016327910536954458,0.4721839713577527,6858,413159,14524,420017,7680,0,54.68971354166667,4.8,2.0,2.25,2.6
epoch,1781628468.6991546,16,9.937144980244383e-05,3.4998816407734794,0.1204721716519576,0.6846633596723238,0.6855418139359197,3.5345091007725156,0.12718789447322393,0.6855488893237304,0.6858552562994789,0.05156341940164566,0.015508280357607873,0.020560977911036095,0.5401404571743321,7845,373703,14524,381548,7680,0,49.680729166666666,4.786666666666667,2.0,2.2666666666666666,2.64
epoch,1781632102.6965055,17,9.928809328671226e-05,3.499924552025823,0.11939618386676641,0.6829620769194328,0.6849996833571522,3.570173005112494,0.12986389350856306,0.692954161750021,0.6851303756161772,0.04992197826504707,0.014829929470079151,0.01765218195176303,0.499586890663729,7256,403798,14524,411054,7680,0,53.52265625,4.773333333333333,2.0,2.283333333333333,2.6799999999999997
epoch,1781635590.6017787,18,9.919958973361781e-05,3.5317584684825736,0.12162672565468952,0.6890936103407331,0.6846208866234559,3.6145259348129986,0.13459390145373729,0.6995217481232954,0.684702379158651,0.02800104208290577,0.0073833815840410825,0.02097082248556536,0.5246488570641696,7620,355742,14524,363362,7680,0,47.31276041666667,4.76,2.0,2.3,2.7199999999999998
epoch,1781639350.281162,19,9.91059488792079e-05,3.5625172005621697,0.12456200440776309,0.6933586380224944,0.6839765537218716,3.6962899065981007,0.14207310743413565,0.7187301430173896,0.6839378493076022,0.03502499312162399,0.012130910642736126,0.018410939315399052,0.482236298540347,7004,373422,14524,380426,7680,0,49.53463541666667,4.746666666666667,2.0,2.3166666666666664,2.76
epoch,1781642896.9656234,20,9.900718102467117e-05,3.5737071813250916,0.12489824744307737,0.6940109342960763,0.6833572936534806,3.6292547074080717,0.13518855923603318,0.697125989054753,0.6836186980433536,0.04397342726588249,0.01394388746306845,0.023215499868302573,0.521894794822363,7580,318926,14524,326506,7680,0,42.51380208333333,4.733333333333333,2.0,2.3333333333333335,2.8
epoch,1781646723.980292,21,9.890329703520439e-05,3.6383268202483006,0.13148197502254444,0.7067579466458325,0.6826451472495789,3.8787119074000254,0.1602505021034787,0.7588229300736478,0.6828441609336873,0.027270397171378136,0.008966136206163355,0.015136477009026511,0.4441613880473699,6451,419738,14524,426189,7680,0,55.493359375,4.72,2.0,2.35,2.84
epoch,1781650237.10209,22,9.8794308338817e-05,3.729193528831108,0.1402672530053507,0.7274121867730061,0.6820470641830966,3.8621050756086004,0.15691423596052284,0.7540322590732214,0.6826046457269577,0.017069412395358086,0.005079496552889395,0.01740126647933564,0.4204076012117874,6106,344788,14524,350894,7680,0,45.68932291666667,4.706666666666667,2.0,2.3666666666666667,2.88
epoch,1781653728.5878277,23,9.868022692507423e-05,3.6701510929719725,0.13383589203039353,0.708990007254143,0.6814131088621728,3.7712938276806263,0.14813026637332796,0.7257079976808393,0.6816726154600731,0.03280477225780487,0.010783488292236142,0.020606920104771137,0.49022307904158635,7120,338395,14524,345515,7680,0,44.988932291666664,4.693333333333333,2.0,2.3833333333333333,2.92
epoch,1781657247.715443,24,9.856106534377785e-05,3.674501308098194,0.13260798784533911,0.7098535987696785,0.6809119504655445,3.7039377460576066,0.13750624629572467,0.7128838226951734,0.6811003420088027,0.01860450953245163,0.005261899248353075,0.015921164781019768,0.469429909115946,6818,421417,14524,428235,7680,0,55.759765625,4.68,2.0,2.4,2.96
epoch,1781660544.2247126,1,9.99992726338421e-05,2.7123524793356992,0.1647649943403908,0.8013281053378815,0.1428437172789364,0.0,0.008187809027731419,0.0017030678288108448,0.016391835133765874,0.13804968687633334,2006,120372,14531,122378,7680,0,15.934635416666667,4.986666666666666,2.0,2.0166666666666666,0.25,1.0,10,5,10
epoch,1781663198.4024167,2,9.999390296633516e-05,2.295129995893407,0.12592419796777116,0.7144503031090814,0.11801625325527365,0.0,0.015047429129481316,0.004316114832681706,0.02084662247737379,0.15518546555639667,2255,105916,14531,108171,7680,0,14.084765625,4.973333333333334,2.0,2.033333333333333,0.25,1.0,10,5,10
epoch,1781665913.2726505,3,9.998330861716445e-05,2.2153659440686133,0.12239739026183914,0.6992080068047676,0.10237018342276968,0.0,0.026776805520057678,0.007784505567906308,0.03374929855970927,0.2607528731677104,3789,108480,14531,112269,7680,0,14.618359375,4.96,2.0,2.05,0.25,1.0,10,5,10
epoch,1781668604.041018,4,9.996749075178701e-05,2.1465353564640948,0.11864372216126352,0.6869560670916479,0.08987045695515734,0.0,0.03497675061225891,0.009381640586445883,0.03918063388280378,0.27300254628036613,3967,97282,14531,101249,7680,0,13.183463541666667,4.946666666666666,2.0,2.066666666666667,0.25,1.0,10,5,10
epoch,1781671645.2554853,5,9.994645111028539e-05,2.107075283122314,0.11739434977402989,0.6815282254120699,0.07913921836255067,0.0,2.1163348647756406,0.11931208652829883,0.6832995683171156,0.07734212860690826,0.0,0.04551465064287186,0.016482359393913272,0.04441021691695546,0.2619227857683573,3806,81895,14531,85701,7680,0,11.158984375,4.933333333333334,2.0,2.0833333333333335,0.25,1.0,10,5,10
epoch,1781674274.9006927,6,9.992019200717618e-05,2.106654194392026,0.118814146676142,0.6858437944211241,0.07044764530189937,0.009843786951688834,0.04441734030842781,0.015761653074105198,0.04462005493181709,0.3186291377055949,4630,99135,14531,103765,7680,0,13.511067708333334,4.92,2.0,2.1,0.25,1.0,10,5,10
